site,panel_id,date,days_from_cf_onset,days_to_cf_strict,signal_count,pre_ews,ews_warning,pre_alarm,prefault_B_effective,prefault_cond_ae,prefault_cond_dtw,prefault_cond_ews,prealarm_cond_ae_mid_or_hi,prealarm_cond_dtw_mid_or_hi,prealarm_cond_hs_mid_or_hi,site_event_soft,site_event_hard,subgroup_common_cause_candidate,cf_retrospective_onset_date,cf_strict_trigger_date,cf_gap_days,qualified_secondary_count,context_score,context_reasons
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-06-26,-3,123,2,True,False,False,False,True,True,True,True,True,True,True,True,False,2025-06-29,2025-10-27,120,688,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-06-27,-2,122,2,True,True,True,True,True,True,True,True,True,False,False,False,False,2025-06-29,2025-10-27,120,688,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-06-28,-1,121,2,True,True,True,True,True,True,True,True,True,True,False,False,False,2025-06-29,2025-10-27,120,688,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-06-29,0,120,2,True,True,True,True,True,True,True,False,False,True,False,False,False,2025-06-29,2025-10-27,120,688,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-06-30,1,119,1,False,False,False,True,True,True,True,False,False,False,False,False,False,2025-06-29,2025-10-27,120,688,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-07-01,2,118,1,False,False,False,True,True,True,True,True,True,False,False,False,False,2025-06-29,2025-10-27,120,688,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-07-02,3,117,1,False,False,False,True,True,True,True,True,True,False,False,False,False,2025-06-29,2025-10-27,120,688,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-07-03,4,116,1,False,False,False,True,True,True,True,True,True,False,False,False,False,2025-06-29,2025-10-27,120,688,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-07-04,5,115,1,False,False,False,True,True,True,True,True,True,False,False,False,False,2025-06-29,2025-10-27,120,688,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-07-05,6,114,1,False,False,False,True,True,True,True,False,False,False,False,False,False,2025-06-29,2025-10-27,120,688,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-07-06,7,113,1,False,False,False,True,True,True,True,True,True,False,False,False,False,2025-06-29,2025-10-27,120,688,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-07-07,8,112,2,True,False,False,True,True,True,True,True,True,False,False,False,False,2025-06-29,2025-10-27,120,688,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-07-08,9,111,2,True,False,False,True,True,True,True,True,True,False,False,False,False,2025-06-29,2025-10-27,120,688,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-07-09,10,110,2,True,False,False,True,True,True,True,True,True,False,False,False,False,2025-06-29,2025-10-27,120,688,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,2025-04-17,-3,121,0,False,False,False,False,False,False,False,False,False,False,False,False,False,2025-04-20,2025-08-16,118,43,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,2025-04-18,-2,120,0,False,False,False,False,False,False,False,False,False,False,False,False,False,2025-04-20,2025-08-16,118,43,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,2025-04-19,-1,119,0,False,False,False,False,False,False,False,False,False,False,False,False,False,2025-04-20,2025-08-16,118,43,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,2025-04-20,0,118,0,False,False,False,False,False,False,False,False,False,True,False,False,False,2025-04-20,2025-08-16,118,43,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,2025-04-21,1,117,0,False,False,False,False,False,False,False,False,False,False,False,False,False,2025-04-20,2025-08-16,118,43,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,2025-04-22,2,116,0,False,False,False,False,False,False,False,False,False,False,False,False,False,2025-04-20,2025-08-16,118,43,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,2025-04-23,3,115,0,False,False,False,False,False,False,False,False,False,False,False,False,False,2025-04-20,2025-08-16,118,43,5,"site_event_history,many_qualified_secondary_days,persistent_warning_between_onset_and_strict,confirmed_or_vdrop_terminal_evidence"
