review_priority,site,panel_root,panel_id,패널고장여부_ko,사건유형_재판정_ko,최종고장양상_재판정_ko,strict_trigger_date,secondary_window_selected_onset_date,secondary_window_selected_marker,secondary_window_selected_gap_days,secondary_window_qualified_count,secondary_window_too_early_count,site_event_history_flag,subgroup_common_cause_history_flag,common_cause_history_flag,strict_trigger_proximal_common_cause_flag,trigger_proximal_common_cause_flag,promotion_decision_bucket,promotion_decision_reason,cluster_review_decision,cluster_review_reason,operator_facing_change_allowed,promotion_candidate_allowed
4,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.3.5,고장,급작 고장,급작 발생,2025-11-11,2025-07-17,prealarm_cond_hs_mid_or_hi,117,95,21,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.3.6,고장,급작 고장,급작 발생,2025-11-11,2025-07-14,prefault_cond_ae,120,217,96,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.4.10,고장,급작 고장,급작 발생,2025-11-11,2025-07-15,prealarm_cond_hs_mid_or_hi,119,58,17,0,0,0,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.4.2,고장,급작 고장,급작 발생,2025-11-11,2025-07-14,prealarm_cond_ae_mid_or_hi,120,102,32,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.3.0,고장,급작 고장,급작 발생,2025-11-12,2025-07-15,prealarm_cond_ae_mid_or_hi,120,125,47,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.4.22,고장,급작 고장,급작 발생,2025-11-13,2025-07-17,prealarm_cond_ae_mid_or_hi,119,54,19,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.0.17,고장,급작 고장,급작 발생,2025-11-17,2025-07-20,prealarm_cond_hs_mid_or_hi,120,49,21,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1.2,고장,급작 고장,급작 발생,2025-11-11,2025-07-17,prealarm_cond_ae_mid_or_hi,117,38,5,0,0,1,0,1,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1.3,고장,급작 고장,급작 발생,2025-11-11,2025-07-16,prealarm_cond_hs_mid_or_hi,118,79,15,0,0,1,0,1,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1.4,고장,급작 고장,급작 발생,2025-11-11,2025-07-14,prealarm_cond_hs_mid_or_hi,120,39,13,0,0,1,0,1,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1.5,고장,급작 고장,급작 발생,2025-11-11,2025-07-16,prealarm_cond_hs_mid_or_hi,118,41,7,0,0,1,0,1,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1.6,고장,급작 고장,급작 발생,2025-11-11,2025-07-14,prealarm_cond_hs_mid_or_hi,120,37,10,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1.7,고장,급작 고장,급작 발생,2025-11-11,2025-07-15,prealarm_cond_dtw_mid_or_hi,119,48,7,0,0,1,0,1,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1.8,고장,급작 고장,급작 발생,2025-11-11,2025-07-16,prealarm_cond_ae_mid_or_hi,118,45,16,0,0,1,0,1,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1.9,고장,급작 고장,급작 발생,2025-11-11,2025-07-16,prealarm_cond_ae_mid_or_hi,118,51,16,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.10,고장,급작 고장,급작 발생,2025-11-11,2025-07-15,prealarm_cond_ae_mid_or_hi,119,88,27,0,0,1,0,1,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.11,고장,급작 고장,급작 발생,2025-11-11,2025-07-18,prealarm_cond_ae_mid_or_hi,116,54,18,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.12,고장,급작 고장,급작 발생,2025-11-11,2025-07-14,prealarm_cond_ae_mid_or_hi,120,116,36,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.3,고장,급작 고장,급작 발생,2025-11-11,2025-07-14,prealarm_cond_dtw_mid_or_hi,120,81,27,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.9,고장,급작 고장,급작 발생,2025-11-11,2025-07-15,prealarm_cond_hs_mid_or_hi,119,88,14,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.7,고장,급작 고장,급작 발생,2025-11-12,2025-07-19,prealarm_cond_hs_mid_or_hi,116,64,16,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.2,고장,급작 고장,급작 발생,2025-11-13,2025-07-20,prealarm_cond_hs_mid_or_hi,116,44,19,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.4,고장,급작 고장,급작 발생,2025-11-13,2025-07-16,prealarm_cond_ae_mid_or_hi,120,59,15,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.5,고장,급작 고장,급작 발생,2025-11-13,2025-07-20,prealarm_cond_hs_mid_or_hi,116,52,17,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.6,고장,급작 고장,급작 발생,2025-11-13,2025-07-17,prealarm_cond_dtw_mid_or_hi,119,68,29,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
4,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.8,고장,급작 고장,급작 발생,2025-11-13,2025-07-21,prealarm_cond_hs_mid_or_hi,115,105,42,0,0,1,0,0,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,blocked_counterexample_hold,persistent_secondary_only_without_site_or_subgroup_or_strict_proximal_support,0,0
