site,panel_id,current_event_type_ko,current_final_pattern_ko,algorithm_family_ko,heuristic_top1_ko,episode_basis_date,episode_basis_kind,retrospective_onset_date,g1_original_suppressed_onset_date,strict_trigger_date,gap_days,onset_method,degradation_days_in_window,shadow_days_in_window,event_A_days_in_window,event_A_days_after_onset,low_mid_ratio_days_in_window,low_mid_ratio_days_after_onset,fault_like_days_in_window,pre_ews_days_in_window,ews_warning_days_in_window,pre_alarm_days_in_window,prefault_B_effective_days_in_window,median_mid_ratio_between,min_mid_ratio_between,onset_mid_ratio,onset_mid_v_ratio,onset_mid_i_ratio,onset_dtw_dist,site_panel_count_on_episode,site_event_A_count_on_episode,site_degradation_count_on_episode,group_key_on_episode,group_panel_count_on_episode,group_event_A_count_on_episode,group_event_A_fraction_on_episode,subgroup_common_cause_history_flag,strict_trigger_proximal_common_cause_flag,g1_suppressed_event_shadow_flag,g1_suppressed_event_guard_applied_flag,episode_class_shadow,fault_family_hypothesis_shadow_ko,precursor_promotion_shadow_decision,shadow_reason_ko,production_write_allowed
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.0,전조형 고장,급격 종료,개방/장치이상형,센서·피드백형,2024-11-06,retrospective_onset_date,2024-11-06,,2024-12-05,29,ews_warning,0,0,1,0,1,0,1,0,0,0,0,0.989,0.95,0.977,0.992,0.985,0.154,349,15,0,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.v0,18,0,0.0,1,1,0,0,manual_review_episode,개방/장치이상형,manual_review,threshold candidate inconclusive,0
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.1,전조형 고장,급격 종료,개방/장치이상형,센서·피드백형,2024-11-06,retrospective_onset_date,2024-11-06,,2024-12-05,29,ews_warning,0,0,1,0,1,0,1,1,0,0,0,0.999,0.96,1.002,0.999,1.004,0.057,349,15,0,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.v0,18,0,0.0,1,1,0,0,manual_review_episode,개방/장치이상형,manual_review,threshold candidate inconclusive,0
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.2,전조형 고장,급격 종료,개방/장치이상형,센서·피드백형,2024-11-07,retrospective_onset_date,2024-11-07,,2024-12-05,28,ews_warning,0,0,1,0,1,0,1,0,0,0,0,0.988,0.979,0.984,0.987,0.998,0.076,349,2,0,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.v0,18,0,0.0,1,1,0,0,manual_review_episode,개방/장치이상형,manual_review,threshold candidate inconclusive,0
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.3,전조형 고장,진행성 악화,개방/장치이상형,센서·피드백형,2024-11-05,retrospective_onset_date,2024-11-05,,2024-12-06,31,ews_warning,0,1,2,1,2,1,1,2,0,0,0,1.01,0.337,1.023,1.005,1.017,0.089,344,10,0,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.v0,18,0,0.0,1,1,0,0,manual_review_episode,개방/장치이상형,manual_review,threshold candidate inconclusive,0
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.4,전조형 고장,진행성 악화,개방/장치이상형,센서·피드백형,2024-11-05,retrospective_onset_date,2024-11-05,,2024-12-06,31,ews_warning,0,1,2,1,2,1,1,2,0,0,0,1.002,0.331,1.003,1.0,1.002,0.066,344,10,0,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.v0,18,0,0.0,1,1,0,0,manual_review_episode,개방/장치이상형,manual_review,threshold candidate inconclusive,0
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.0,전조형 고장,진행성 악화,개방/장치이상형,센서·피드백형,2024-11-05,retrospective_onset_date,2024-11-05,,2024-12-05,30,ews_warning,0,0,1,0,1,0,1,0,0,0,0,0.991,0.969,0.987,0.997,0.989,0.018,344,10,0,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.v0,18,0,0.0,1,1,0,0,manual_review_episode,개방/장치이상형,manual_review,threshold candidate inconclusive,0
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.1,전조형 고장,진행성 악화,개방/장치이상형,센서·피드백형,2024-11-08,retrospective_onset_date,2024-11-08,,2024-12-05,27,ews_warning,0,0,1,0,1,0,1,0,0,0,0,1.002,0.968,1.004,1.003,1.001,0.068,349,3,0,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.v0,18,0,0.0,1,1,0,0,manual_review_episode,개방/장치이상형,manual_review,threshold candidate inconclusive,0
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.2,전조형 고장,진행성 악화,개방/장치이상형,센서·피드백형,2024-11-09,retrospective_onset_date,2024-11-09,,2024-12-05,26,ews_warning,0,0,1,0,1,0,1,1,0,0,0,1.0,0.98,0.97,0.855,0.829,14.53,349,5,0,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.v0,18,1,0.056,1,1,0,0,manual_review_episode,개방/장치이상형,manual_review,threshold candidate inconclusive,0
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.3,전조형 고장,진행성 악화,개방/장치이상형,센서·피드백형,2024-11-06,retrospective_onset_date,2024-11-06,,2024-12-05,29,ews_warning,0,0,1,0,1,0,1,1,0,0,0,1.001,0.989,1.001,0.976,0.983,1.113,349,15,0,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.v0,18,0,0.0,1,1,0,0,manual_review_episode,개방/장치이상형,manual_review,threshold candidate inconclusive,0
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.4,전조형 고장,진행성 악화,개방/장치이상형,센서·피드백형,2024-11-09,retrospective_onset_date,2024-11-09,,2024-12-05,26,ews_warning,0,0,2,1,1,0,1,0,0,0,0,0.99,0.98,0.968,0.758,0.759,12.39,349,5,0,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.v0,18,1,0.056,1,1,0,0,manual_review_episode,개방/장치이상형,manual_review,threshold candidate inconclusive,0
