review_packet_id,site,panel_id,panel_root_id,panel_branch_id,subtype_promotion_blocker_detail_shadow,review_priority,default_decision_ko,review_question_ko,recommended_check_ko,사건유형_재판정_ko,최종고장양상_재판정_ko,earliest_warning_date,retrospective_onset_date,strict_trigger_date,first_final_fault_date,common_cause_anchor_date,common_cause_anchor_kind,gap_days,onset_confidence,onset_method,fault_family_hypothesis_shadow_ko,fault_subtype_hypothesis_shadow_ko,subtype_shape_confidence_shadow,subtype_confidence_shadow,subtype_promotion_blocker_shadow,subtype_promotion_blocker_reason_ko,subtype_hold_reason_ko,site_event_history_flag,group_off_history_flag,subgroup_common_cause_history_flag,common_cause_history_flag,strict_trigger_proximal_common_cause_flag,warning_proximal_common_cause_flag,trigger_proximal_common_cause_flag,secondary_window_candidate_flag,secondary_window_selected_onset_date,secondary_window_selected_marker,secondary_window_selected_gap_days,secondary_window_qualified_count,secondary_window_too_early_count,secondary_window_change_class,secondary_window_review_tier,promotion_decision_bucket,promotion_decision_reason,대표critical_source,대표anom_level,대표anom_subtype,algorithm_family_ko,algorithm_symptom_ko,detailed_fault_code,detailed_fault_label_ko,subtype_evidence_tags,subtype_production_write_allowed
BR023-042,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.0.17,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.0,group_off,P1_cluster_false_positive_check,기본 hold: group episode 분리 전 subtype/전조 승격 금지,"group_off episode 안의 bypass diode 동작·고장 의심형 형태가 개별 패널 고장 징후인지, 같은 root/branch 동시 episode인지 확인","같은 panel_root_id/panel_branch_id 내 동시 strict date, group_off flag, secondary-window 재발성을 같이 확인",급작 고장,급작 발생,2025-11-17,,2025-11-17,,2025-11-17,strict_trigger,0,low,runtime_trigger_only,다이오드·서브스트링 계열,bypass diode 동작·고장 의심형,medium,hold,common_cause,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,0,1,0,1,0,0,0,1,2025-07-20,prealarm_cond_hs_mid_or_hi,120,49,21,trigger_only_to_precursor,review_persistent_secondary_only,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,vdrop,normal,critical_fault_vdrop,다이오드형,전압 변화형,RAW_DIODE_VDROP,알고리즘상 vdrop 계열,"event_type=급작 고장,algorithm_family=다이오드형,critical_source=vdrop,anom_subtype=critical_fault_vdrop,onset_method=runtime_trigger_only,root_or_group_common_cause,family=diode_substring,vi_ratio_shape",0
BR023-046,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.3.5,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.3,group_off,P1_cluster_false_positive_check,기본 hold: group episode 분리 전 subtype/전조 승격 금지,"group_off episode 안의 bypass diode 동작·고장 의심형 형태가 개별 패널 고장 징후인지, 같은 root/branch 동시 episode인지 확인","같은 panel_root_id/panel_branch_id 내 동시 strict date, group_off flag, secondary-window 재발성을 같이 확인",급작 고장,급작 발생,2025-11-15,,2025-11-11,,2025-11-11,strict_trigger,0,low,runtime_trigger_only,다이오드·서브스트링 계열,bypass diode 동작·고장 의심형,medium,hold,common_cause,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,0,1,0,1,0,0,0,1,2025-07-17,prealarm_cond_hs_mid_or_hi,117,95,21,trigger_only_to_precursor,review_persistent_secondary_only,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,vdrop,normal,critical_fault_vdrop,다이오드형,전압 변화형,RAW_DIODE_VDROP,알고리즘상 vdrop 계열,"event_type=급작 고장,algorithm_family=다이오드형,critical_source=vdrop,anom_subtype=critical_fault_vdrop,onset_method=runtime_trigger_only,root_or_group_common_cause,family=diode_substring,vi_ratio_shape",0
BR023-047,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.3.6,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.3,group_off,P1_cluster_false_positive_check,기본 hold: group episode 분리 전 subtype/전조 승격 금지,"group_off episode 안의 bypass diode 동작·고장 의심형 형태가 개별 패널 고장 징후인지, 같은 root/branch 동시 episode인지 확인","같은 panel_root_id/panel_branch_id 내 동시 strict date, group_off flag, secondary-window 재발성을 같이 확인",급작 고장,급작 발생,2025-11-15,,2025-11-11,,2025-11-11,strict_trigger,0,low,runtime_trigger_only,다이오드·서브스트링 계열,bypass diode 동작·고장 의심형,medium,hold,common_cause,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,0,1,0,1,0,0,0,1,2025-07-14,prefault_cond_ae,120,217,96,trigger_only_to_precursor,review_persistent_secondary_only,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,vdrop,degraded_or_shadow,degradation_steady,다이오드형,전압 변화형,RAW_DIODE_VDROP,알고리즘상 vdrop 계열,"event_type=급작 고장,algorithm_family=다이오드형,critical_source=vdrop,anom_subtype=degradation_steady,onset_method=runtime_trigger_only,root_or_group_common_cause,family=diode_substring,vi_ratio_shape",0
BR023-043,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.3.0,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.3,group_off,P1_cluster_false_positive_check,기본 hold: group episode 분리 전 subtype/전조 승격 금지,"group_off episode 안의 bypass diode 동작·고장 의심형 형태가 개별 패널 고장 징후인지, 같은 root/branch 동시 episode인지 확인","같은 panel_root_id/panel_branch_id 내 동시 strict date, group_off flag, secondary-window 재발성을 같이 확인",급작 고장,급작 발생,2025-11-17,,2025-11-12,2025-11-12,2025-11-12,strict_trigger,0,low,runtime_trigger_only,다이오드·서브스트링 계열,bypass diode 동작·고장 의심형,medium,hold,common_cause,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,0,1,0,1,0,0,0,1,2025-07-15,prealarm_cond_ae_mid_or_hi,120,125,47,trigger_only_to_precursor,review_persistent_secondary_only,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,vdrop,confirmed_fault,confirmed_fault,다이오드형,전압 변화형,RAW_DIODE_VDROP,알고리즘상 vdrop 계열,"event_type=급작 고장,algorithm_family=다이오드형,critical_source=vdrop,anom_subtype=confirmed_fault,onset_method=runtime_trigger_only,root_or_group_common_cause,family=diode_substring,vi_ratio_shape",0
BR023-048,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.4.10,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.4,group_off,P1_cluster_false_positive_check,기본 hold: group episode 분리 전 subtype/전조 승격 금지,"group_off episode 안의 bypass diode 동작·고장 의심형 형태가 개별 패널 고장 징후인지, 같은 root/branch 동시 episode인지 확인","같은 panel_root_id/panel_branch_id 내 동시 strict date, group_off flag, secondary-window 재발성을 같이 확인",급작 고장,급작 발생,2025-11-16,,2025-11-11,,2025-11-11,strict_trigger,0,low,runtime_trigger_only,다이오드·서브스트링 계열,bypass diode 동작·고장 의심형,medium,hold,common_cause,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,0,1,0,0,0,0,0,1,2025-07-15,prealarm_cond_hs_mid_or_hi,119,58,17,trigger_only_to_precursor,review_persistent_secondary_only,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,vdrop,normal,critical_fault_vdrop,다이오드형,전압 변화형,RAW_DIODE_VDROP,알고리즘상 vdrop 계열,"event_type=급작 고장,algorithm_family=다이오드형,critical_source=vdrop,anom_subtype=critical_fault_vdrop,onset_method=runtime_trigger_only,root_or_group_common_cause,family=diode_substring,vi_ratio_shape",0
BR023-052,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.4.2,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.4,group_off,P1_cluster_false_positive_check,기본 hold: group episode 분리 전 subtype/전조 승격 금지,"group_off episode 안의 bypass diode 동작·고장 의심형 형태가 개별 패널 고장 징후인지, 같은 root/branch 동시 episode인지 확인","같은 panel_root_id/panel_branch_id 내 동시 strict date, group_off flag, secondary-window 재발성을 같이 확인",급작 고장,급작 발생,2026-01-29,,2025-11-11,2025-11-11,2025-11-11,strict_trigger,0,low,runtime_trigger_only,다이오드·서브스트링 계열,bypass diode 동작·고장 의심형,medium,hold,common_cause,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,0,1,0,1,0,0,0,1,2025-07-14,prealarm_cond_ae_mid_or_hi,120,102,32,trigger_only_to_precursor,review_persistent_secondary_only,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,vdrop,confirmed_fault,confirmed_fault,다이오드형,전압 변화형,RAW_DIODE_VDROP,알고리즘상 vdrop 계열,"event_type=급작 고장,algorithm_family=다이오드형,critical_source=vdrop,anom_subtype=confirmed_fault,onset_method=runtime_trigger_only,root_or_group_common_cause,family=diode_substring,vi_ratio_shape",0
BR023-053,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.4.22,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.4,group_off,P1_cluster_false_positive_check,기본 hold: group episode 분리 전 subtype/전조 승격 금지,"group_off episode 안의 bypass diode 동작·고장 의심형 형태가 개별 패널 고장 징후인지, 같은 root/branch 동시 episode인지 확인","같은 panel_root_id/panel_branch_id 내 동시 strict date, group_off flag, secondary-window 재발성을 같이 확인",급작 고장,급작 발생,2025-11-17,,2025-11-13,,2025-11-13,strict_trigger,0,low,runtime_trigger_only,다이오드·서브스트링 계열,bypass diode 동작·고장 의심형,medium,hold,common_cause,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,0,1,0,1,0,0,0,1,2025-07-17,prealarm_cond_ae_mid_or_hi,119,54,19,trigger_only_to_precursor,review_persistent_secondary_only,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,vdrop,normal,critical_fault_vdrop,다이오드형,전압 변화형,RAW_DIODE_VDROP,알고리즘상 vdrop 계열,"event_type=급작 고장,algorithm_family=다이오드형,critical_source=vdrop,anom_subtype=critical_fault_vdrop,onset_method=runtime_trigger_only,root_or_group_common_cause,family=diode_substring,vi_ratio_shape",0
BR023-057,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1.2,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1,group_off,P1_cluster_false_positive_check,기본 hold: group episode 분리 전 subtype/전조 승격 금지,"group_off episode 안의 간헐 접촉저항형 형태가 개별 패널 고장 징후인지, 같은 root/branch 동시 episode인지 확인","같은 panel_root_id/panel_branch_id 내 동시 strict date, group_off flag, secondary-window 재발성을 같이 확인",급작 고장,급작 발생,2025-11-20,,2025-11-11,2025-11-11,2025-11-11,strict_trigger,0,low,runtime_trigger_only,접속 불량·부분 개방 계열,간헐 접촉저항형,medium,hold,common_cause,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,0,1,0,1,0,1,1,1,2025-07-17,prealarm_cond_ae_mid_or_hi,117,38,5,trigger_only_to_precursor,review_persistent_secondary_only,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,none,confirmed_fault,confirmed_fault,개방/장치이상형,전압 변화형,RAW_OPEN_NOCRIT,확정고장이지만 vdrop/critical 증거가 약한 계열,"event_type=급작 고장,algorithm_family=개방/장치이상형,critical_source=none,anom_subtype=confirmed_fault,onset_method=runtime_trigger_only,root_or_group_common_cause,family=open_connection_partial,recurrence_or_secondary_window",0
BR023-058,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1.3,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1,group_off,P1_cluster_false_positive_check,기본 hold: group episode 분리 전 subtype/전조 승격 금지,"group_off episode 안의 간헐 접촉저항형 형태가 개별 패널 고장 징후인지, 같은 root/branch 동시 episode인지 확인","같은 panel_root_id/panel_branch_id 내 동시 strict date, group_off flag, secondary-window 재발성을 같이 확인",급작 고장,급작 발생,2025-11-25,,2025-11-11,2025-11-11,2025-11-11,strict_trigger,0,low,runtime_trigger_only,접속 불량·부분 개방 계열,간헐 접촉저항형,medium,hold,common_cause,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,0,1,0,1,0,1,1,1,2025-07-16,prealarm_cond_hs_mid_or_hi,118,79,15,trigger_only_to_precursor,review_persistent_secondary_only,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,none,confirmed_fault,confirmed_fault,개방/장치이상형,전압 변화형,RAW_OPEN_NOCRIT,확정고장이지만 vdrop/critical 증거가 약한 계열,"event_type=급작 고장,algorithm_family=개방/장치이상형,critical_source=none,anom_subtype=confirmed_fault,onset_method=runtime_trigger_only,root_or_group_common_cause,family=open_connection_partial,recurrence_or_secondary_window",0
BR023-059,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1.4,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1,group_off,P1_cluster_false_positive_check,기본 hold: group episode 분리 전 subtype/전조 승격 금지,"group_off episode 안의 간헐 접촉저항형 형태가 개별 패널 고장 징후인지, 같은 root/branch 동시 episode인지 확인","같은 panel_root_id/panel_branch_id 내 동시 strict date, group_off flag, secondary-window 재발성을 같이 확인",급작 고장,급작 발생,2025-11-20,,2025-11-11,2025-11-11,2025-11-11,strict_trigger,0,low,runtime_trigger_only,접속 불량·부분 개방 계열,간헐 접촉저항형,medium,hold,common_cause,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,candidate subtype is held because root/group common-cause evidence must be separated before individual panel promotion,0,1,0,1,0,1,1,1,2025-07-14,prealarm_cond_hs_mid_or_hi,120,39,13,trigger_only_to_precursor,review_persistent_secondary_only,blocked_cluster_risk,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk,none,confirmed_fault,confirmed_fault,개방/장치이상형,전압 변화형,RAW_OPEN_NOCRIT,확정고장이지만 vdrop/critical 증거가 약한 계열,"event_type=급작 고장,algorithm_family=개방/장치이상형,critical_source=none,anom_subtype=confirmed_fault,onset_method=runtime_trigger_only,root_or_group_common_cause,family=open_connection_partial,recurrence_or_secondary_window",0
