subtype_promotion_blocker_detail_shadow,site,panel_root_id,panel_branch_id,panel_count,first_strict_trigger_date,last_strict_trigger_date,event_type_set,subtype_set,promotion_bucket_set,secondary_window_candidate_count,site_event_count,group_off_count,subgroup_common_cause_count,strict_trigger_proximal_count,trigger_proximal_count
group_off,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.0,1,2025-11-17,2025-11-17,급작 고장,bypass diode 동작·고장 의심형,blocked_cluster_risk,1,0,1,0,0,0
group_off,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.3,3,2025-11-11,2025-11-12,급작 고장,bypass diode 동작·고장 의심형,blocked_cluster_risk,3,0,3,0,0,0
group_off,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.4,3,2025-11-11,2025-11-13,급작 고장,bypass diode 동작·고장 의심형,blocked_cluster_risk,3,0,3,0,0,0
group_off,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1,8,2025-11-11,2025-11-11,급작 고장,간헐 접촉저항형,blocked_cluster_risk,8,0,8,0,0,6
group_off,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2,13,2025-11-11,2025-11-13,급작 고장|전조형 고장,간헐 접촉저항형|일시 환경 episode형,audit_provenance_only|blocked_cluster_risk,13,0,13,0,0,1
strict_trigger_proximal,conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0,5,2024-12-05,2024-12-06,전조형 고장,간헐 접촉저항형,audit_provenance_only,5,0,0,5,5,5
strict_trigger_proximal,conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1,5,2024-12-05,2024-12-05,전조형 고장,간헐 접촉저항형,audit_provenance_only,5,0,0,5,5,5
strict_trigger_proximal,conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.2,2,2024-12-05,2024-12-05,전조형 고장,간헐 접촉저항형,audit_provenance_only,2,0,0,2,2,2
strict_trigger_proximal,conalog,a481180a-e538-42e2-b1aa-95f251c531bc,a481180a-e538-42e2-b1aa-95f251c531bc.0,9,2024-12-05,2024-12-06,전조형 고장,간헐 접촉저항형,audit_provenance_only,9,0,0,9,9,9
strict_trigger_proximal,conalog,a481180a-e538-42e2-b1aa-95f251c531bc,a481180a-e538-42e2-b1aa-95f251c531bc.1,9,2024-12-05,2024-12-05,전조형 고장,간헐 접촉저항형,audit_provenance_only,9,0,0,9,9,9
strict_trigger_proximal,conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1,5,2024-12-05,2024-12-05,전조형 고장,간헐 접촉저항형,audit_provenance_only,5,0,0,5,5,5
strict_trigger_proximal,conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.2,3,2024-12-05,2024-12-05,전조형 고장,간헐 접촉저항형,,0,0,0,3,3,3
strict_trigger_proximal,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.0,3,2025-11-17,2025-11-23,전조형 고장,bypass diode 동작·고장 의심형|누적 오염·열화형|일시 환경 episode형,audit_provenance_only,3,0,3,3,3,3
strict_trigger_proximal,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.3,2,2025-11-11,2025-11-12,전조형 고장,bypass diode 동작·고장 의심형,audit_provenance_only,2,0,2,2,2,2
strict_trigger_proximal,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.4,4,2025-11-11,2025-11-13,전조형 고장,bypass diode 동작·고장 의심형|간헐 접촉저항형,audit_provenance_only,3,0,4,4,4,4
strict_trigger_proximal,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1,2,2025-11-26,2025-11-26,전조형 고장,간헐 접촉저항형|누적 오염·열화형,,0,0,2,0,2,2
