review_packet_id,site,panel_id,panel_root_id,panel_branch_id,subtype_promotion_blocker_detail_shadow,review_priority,default_decision_ko,review_question_ko,recommended_check_ko,사건유형_재판정_ko,최종고장양상_재판정_ko,earliest_warning_date,retrospective_onset_date,strict_trigger_date,first_final_fault_date,common_cause_anchor_date,common_cause_anchor_kind,gap_days,onset_confidence,onset_method,fault_family_hypothesis_shadow_ko,fault_subtype_hypothesis_shadow_ko,subtype_shape_confidence_shadow,subtype_confidence_shadow,subtype_promotion_blocker_shadow,subtype_promotion_blocker_reason_ko,subtype_hold_reason_ko,site_event_history_flag,group_off_history_flag,subgroup_common_cause_history_flag,common_cause_history_flag,strict_trigger_proximal_common_cause_flag,warning_proximal_common_cause_flag,trigger_proximal_common_cause_flag,secondary_window_candidate_flag,secondary_window_selected_onset_date,secondary_window_selected_marker,secondary_window_selected_gap_days,secondary_window_qualified_count,secondary_window_too_early_count,secondary_window_change_class,secondary_window_review_tier,promotion_decision_bucket,promotion_decision_reason,대표critical_source,대표anom_level,대표anom_subtype,algorithm_family_ko,algorithm_symptom_ko,detailed_fault_code,detailed_fault_label_ko,subtype_evidence_tags,subtype_production_write_allowed
BR023-001,conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.0,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0,strict_trigger_proximal,P1_strict_proximal_vs_secondary_window_check,기본 hold: strict-proximal 공통원인 분리 전 subtype/전조 승격 금지,strict trigger와 common-cause anchor가 같은 날인 간헐 접촉저항형 형태를 개별 전조로 볼 근거가 있는지 확인,"strict_trigger_date 주변 +/-3일의 site/subgroup/group_off 동시성, secondary-window gap, 동일 root 반복 여부 확인",전조형 고장,급격 종료,2024-12-10,2024-11-06,2024-12-05,2024-12-06,2024-12-05,strict_trigger,29,high,ews_warning,접속 불량·부분 개방 계열,간헐 접촉저항형,medium,hold,common_cause,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,0,0,1,1,1,0,1,1,2024-11-06,prealarm_cond_hs_mid_or_hi,29,24,0,method_provenance_only_primary_marker_mismatch,audit_provenance_only,audit_provenance_only,BR008: audit_provenance_only; audit/provenance only and no event flip,none,confirmed_fault,confirmed_fault,개방/장치이상형,전압 변화형,RAW_OPEN_NOCRIT,확정고장이지만 vdrop/critical 증거가 약한 계열,"event_type=전조형 고장,algorithm_family=개방/장치이상형,critical_source=none,anom_subtype=confirmed_fault,gap_days=29,onset_method=ews_warning,site_or_strict_proximal_common_cause,family=open_connection_partial,recurrence_or_secondary_window",0
BR023-002,conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.1,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0,strict_trigger_proximal,P1_strict_proximal_vs_secondary_window_check,기본 hold: strict-proximal 공통원인 분리 전 subtype/전조 승격 금지,strict trigger와 common-cause anchor가 같은 날인 간헐 접촉저항형 형태를 개별 전조로 볼 근거가 있는지 확인,"strict_trigger_date 주변 +/-3일의 site/subgroup/group_off 동시성, secondary-window gap, 동일 root 반복 여부 확인",전조형 고장,급격 종료,2024-12-10,2024-11-06,2024-12-05,2024-12-06,2024-12-05,strict_trigger,29,high,ews_warning,접속 불량·부분 개방 계열,간헐 접촉저항형,medium,hold,common_cause,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,0,0,1,1,1,0,1,1,2024-11-06,prealarm_cond_hs_mid_or_hi,29,11,0,method_provenance_only_primary_marker_mismatch,audit_provenance_only,audit_provenance_only,BR008: audit_provenance_only; audit/provenance only and no event flip,none,confirmed_fault,confirmed_fault,개방/장치이상형,전압 변화형,RAW_OPEN_NOCRIT,확정고장이지만 vdrop/critical 증거가 약한 계열,"event_type=전조형 고장,algorithm_family=개방/장치이상형,critical_source=none,anom_subtype=confirmed_fault,gap_days=29,onset_method=ews_warning,site_or_strict_proximal_common_cause,family=open_connection_partial,recurrence_or_secondary_window",0
BR023-003,conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.2,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0,strict_trigger_proximal,P1_strict_proximal_vs_secondary_window_check,기본 hold: strict-proximal 공통원인 분리 전 subtype/전조 승격 금지,strict trigger와 common-cause anchor가 같은 날인 간헐 접촉저항형 형태를 개별 전조로 볼 근거가 있는지 확인,"strict_trigger_date 주변 +/-3일의 site/subgroup/group_off 동시성, secondary-window gap, 동일 root 반복 여부 확인",전조형 고장,급격 종료,2024-12-10,2024-11-07,2024-12-05,2024-12-06,2024-12-05,strict_trigger,28,high,ews_warning,접속 불량·부분 개방 계열,간헐 접촉저항형,medium,hold,common_cause,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,0,0,1,1,1,0,1,1,2024-11-07,prealarm_cond_hs_mid_or_hi,28,7,0,method_provenance_only_primary_marker_mismatch,audit_provenance_only,audit_provenance_only,BR008: audit_provenance_only; audit/provenance only and no event flip,none,confirmed_fault,confirmed_fault,개방/장치이상형,전압 변화형,RAW_OPEN_NOCRIT,확정고장이지만 vdrop/critical 증거가 약한 계열,"event_type=전조형 고장,algorithm_family=개방/장치이상형,critical_source=none,anom_subtype=confirmed_fault,gap_days=28,onset_method=ews_warning,site_or_strict_proximal_common_cause,family=open_connection_partial,recurrence_or_secondary_window",0
BR023-004,conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.3,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0,strict_trigger_proximal,P1_strict_proximal_vs_secondary_window_check,기본 hold: strict-proximal 공통원인 분리 전 subtype/전조 승격 금지,strict trigger와 common-cause anchor가 같은 날인 간헐 접촉저항형 형태를 개별 전조로 볼 근거가 있는지 확인,"strict_trigger_date 주변 +/-3일의 site/subgroup/group_off 동시성, secondary-window gap, 동일 root 반복 여부 확인",전조형 고장,진행성 악화,2024-12-10,2024-11-05,2024-12-06,2024-12-06,2024-12-06,strict_trigger,31,high,ews_warning,접속 불량·부분 개방 계열,간헐 접촉저항형,medium,hold,common_cause,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,0,0,1,1,1,0,1,1,2024-11-05,prealarm_cond_ae_mid_or_hi,31,27,0,method_provenance_only_primary_marker_mismatch,audit_provenance_only,audit_provenance_only,BR008: audit_provenance_only; audit/provenance only and no event flip,none,confirmed_fault,confirmed_fault,개방/장치이상형,전압 변화형,RAW_OPEN_NOCRIT,확정고장이지만 vdrop/critical 증거가 약한 계열,"event_type=전조형 고장,algorithm_family=개방/장치이상형,critical_source=none,anom_subtype=confirmed_fault,gap_days=31,onset_method=ews_warning,site_or_strict_proximal_common_cause,family=open_connection_partial,recurrence_or_secondary_window",0
BR023-005,conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.4,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0,strict_trigger_proximal,P1_strict_proximal_vs_secondary_window_check,기본 hold: strict-proximal 공통원인 분리 전 subtype/전조 승격 금지,strict trigger와 common-cause anchor가 같은 날인 간헐 접촉저항형 형태를 개별 전조로 볼 근거가 있는지 확인,"strict_trigger_date 주변 +/-3일의 site/subgroup/group_off 동시성, secondary-window gap, 동일 root 반복 여부 확인",전조형 고장,진행성 악화,2024-12-10,2024-11-05,2024-12-06,2024-12-06,2024-12-06,strict_trigger,31,high,ews_warning,접속 불량·부분 개방 계열,간헐 접촉저항형,medium,hold,common_cause,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,0,0,1,1,1,0,1,1,2024-11-05,prealarm_cond_hs_mid_or_hi,31,28,0,method_provenance_only_primary_marker_mismatch,audit_provenance_only,audit_provenance_only,BR008: audit_provenance_only; audit/provenance only and no event flip,none,confirmed_fault,confirmed_fault,개방/장치이상형,전압 변화형,RAW_OPEN_NOCRIT,확정고장이지만 vdrop/critical 증거가 약한 계열,"event_type=전조형 고장,algorithm_family=개방/장치이상형,critical_source=none,anom_subtype=confirmed_fault,gap_days=31,onset_method=ews_warning,site_or_strict_proximal_common_cause,family=open_connection_partial,recurrence_or_secondary_window",0
BR023-006,conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.0,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1,strict_trigger_proximal,P1_strict_proximal_vs_secondary_window_check,기본 hold: strict-proximal 공통원인 분리 전 subtype/전조 승격 금지,strict trigger와 common-cause anchor가 같은 날인 간헐 접촉저항형 형태를 개별 전조로 볼 근거가 있는지 확인,"strict_trigger_date 주변 +/-3일의 site/subgroup/group_off 동시성, secondary-window gap, 동일 root 반복 여부 확인",전조형 고장,진행성 악화,2024-12-10,2024-11-05,2024-12-05,2024-12-06,2024-12-05,strict_trigger,30,high,ews_warning,접속 불량·부분 개방 계열,간헐 접촉저항형,medium,hold,common_cause,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,0,0,1,1,1,0,1,1,2024-11-05,prealarm_cond_hs_mid_or_hi,30,8,0,method_provenance_only_primary_marker_mismatch,audit_provenance_only,audit_provenance_only,BR008: audit_provenance_only; audit/provenance only and no event flip,none,confirmed_fault,confirmed_fault,개방/장치이상형,전압 변화형,RAW_OPEN_NOCRIT,확정고장이지만 vdrop/critical 증거가 약한 계열,"event_type=전조형 고장,algorithm_family=개방/장치이상형,critical_source=none,anom_subtype=confirmed_fault,gap_days=30,onset_method=ews_warning,site_or_strict_proximal_common_cause,family=open_connection_partial,recurrence_or_secondary_window",0
BR023-007,conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.1,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1,strict_trigger_proximal,P1_strict_proximal_vs_secondary_window_check,기본 hold: strict-proximal 공통원인 분리 전 subtype/전조 승격 금지,strict trigger와 common-cause anchor가 같은 날인 간헐 접촉저항형 형태를 개별 전조로 볼 근거가 있는지 확인,"strict_trigger_date 주변 +/-3일의 site/subgroup/group_off 동시성, secondary-window gap, 동일 root 반복 여부 확인",전조형 고장,진행성 악화,2024-12-10,2024-11-08,2024-12-05,2024-12-06,2024-12-05,strict_trigger,27,high,ews_warning,접속 불량·부분 개방 계열,간헐 접촉저항형,medium,hold,common_cause,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,0,0,1,1,1,0,1,1,2024-11-08,prealarm_cond_hs_mid_or_hi,27,17,0,method_provenance_only_primary_marker_mismatch,audit_provenance_only,audit_provenance_only,BR008: audit_provenance_only; audit/provenance only and no event flip,none,confirmed_fault,confirmed_fault,개방/장치이상형,전압 변화형,RAW_OPEN_NOCRIT,확정고장이지만 vdrop/critical 증거가 약한 계열,"event_type=전조형 고장,algorithm_family=개방/장치이상형,critical_source=none,anom_subtype=confirmed_fault,gap_days=27,onset_method=ews_warning,site_or_strict_proximal_common_cause,family=open_connection_partial,recurrence_or_secondary_window",0
BR023-008,conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.2,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1,strict_trigger_proximal,P1_strict_proximal_vs_secondary_window_check,기본 hold: strict-proximal 공통원인 분리 전 subtype/전조 승격 금지,strict trigger와 common-cause anchor가 같은 날인 간헐 접촉저항형 형태를 개별 전조로 볼 근거가 있는지 확인,"strict_trigger_date 주변 +/-3일의 site/subgroup/group_off 동시성, secondary-window gap, 동일 root 반복 여부 확인",전조형 고장,진행성 악화,2024-12-10,2024-11-09,2024-12-05,2024-12-06,2024-12-05,strict_trigger,26,high,ews_warning,접속 불량·부분 개방 계열,간헐 접촉저항형,medium,hold,common_cause,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,0,0,1,1,1,0,1,1,2024-11-09,prealarm_cond_ae_mid_or_hi,26,11,0,method_provenance_only_primary_marker_mismatch,audit_provenance_only,audit_provenance_only,BR008: audit_provenance_only; audit/provenance only and no event flip,none,confirmed_fault,confirmed_fault,개방/장치이상형,전압 변화형,RAW_OPEN_NOCRIT,확정고장이지만 vdrop/critical 증거가 약한 계열,"event_type=전조형 고장,algorithm_family=개방/장치이상형,critical_source=none,anom_subtype=confirmed_fault,gap_days=26,onset_method=ews_warning,site_or_strict_proximal_common_cause,family=open_connection_partial,recurrence_or_secondary_window",0
BR023-009,conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.3,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1,strict_trigger_proximal,P1_strict_proximal_vs_secondary_window_check,기본 hold: strict-proximal 공통원인 분리 전 subtype/전조 승격 금지,strict trigger와 common-cause anchor가 같은 날인 간헐 접촉저항형 형태를 개별 전조로 볼 근거가 있는지 확인,"strict_trigger_date 주변 +/-3일의 site/subgroup/group_off 동시성, secondary-window gap, 동일 root 반복 여부 확인",전조형 고장,진행성 악화,2024-12-10,2024-11-06,2024-12-05,2024-12-06,2024-12-05,strict_trigger,29,high,ews_warning,접속 불량·부분 개방 계열,간헐 접촉저항형,medium,hold,common_cause,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,0,0,1,1,1,0,1,1,2024-11-06,prealarm_cond_ae_mid_or_hi,29,17,0,method_provenance_only_primary_marker_mismatch,audit_provenance_only,audit_provenance_only,BR008: audit_provenance_only; audit/provenance only and no event flip,none,confirmed_fault,confirmed_fault,개방/장치이상형,전압 변화형,RAW_OPEN_NOCRIT,확정고장이지만 vdrop/critical 증거가 약한 계열,"event_type=전조형 고장,algorithm_family=개방/장치이상형,critical_source=none,anom_subtype=confirmed_fault,gap_days=29,onset_method=ews_warning,site_or_strict_proximal_common_cause,family=open_connection_partial,recurrence_or_secondary_window",0
BR023-010,conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.4,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1,strict_trigger_proximal,P1_strict_proximal_vs_secondary_window_check,기본 hold: strict-proximal 공통원인 분리 전 subtype/전조 승격 금지,strict trigger와 common-cause anchor가 같은 날인 간헐 접촉저항형 형태를 개별 전조로 볼 근거가 있는지 확인,"strict_trigger_date 주변 +/-3일의 site/subgroup/group_off 동시성, secondary-window gap, 동일 root 반복 여부 확인",전조형 고장,진행성 악화,2024-12-10,2024-11-09,2024-12-05,2024-12-06,2024-12-05,strict_trigger,26,high,ews_warning,접속 불량·부분 개방 계열,간헐 접촉저항형,medium,hold,common_cause,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,candidate subtype is held because site/strict-proximal common-cause evidence blocks individual panel precursor promotion,0,0,1,1,1,0,1,1,2024-11-09,prealarm_cond_ae_mid_or_hi,26,12,0,method_provenance_only_primary_marker_mismatch,audit_provenance_only,audit_provenance_only,BR008: audit_provenance_only; audit/provenance only and no event flip,none,confirmed_fault,confirmed_fault,개방/장치이상형,전압 변화형,RAW_OPEN_NOCRIT,확정고장이지만 vdrop/critical 증거가 약한 계열,"event_type=전조형 고장,algorithm_family=개방/장치이상형,critical_source=none,anom_subtype=confirmed_fault,gap_days=26,onset_method=ews_warning,site_or_strict_proximal_common_cause,family=open_connection_partial,recurrence_or_secondary_window",0
