site,panel_id,strict_trigger_date,first_warning_date,retrospective_onset_date,days_earlier_than_trigger,onset_confidence,onset_method,reason_summary,vendor_reply_class,vendor_fault_family,field_confirmed_flag,dispute_type,vendor_note,review_priority,reaudited_earliest_visible_date,reaudited_first_warning_date,field_estimated_start_date,date_judgement,failure_mode_judgement,candidate_validity,review_confidence,note
conalog,7f7dd654-2760-4eb2-a197-3ebb72b85cda.2.0,2024-11-26,2024-11-06,2024-11-06,20,high,persistent_5of7,strict_method=critical_fault_flag|window_start=2024-09-27|first_warning=2024-11-06|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,vendor_pattern_positive,diode_like,0.0,agree_group_issue,"입력전압 27 수준, 다른 패널 43 대비 30~40% 낮음",P1,,,,,,true_positive,,초기 seed: vendor_pattern_positive / diode_like
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.15,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,field_confirmed_positive,group_or_inverter_side_like,1.0,agree_positive,"커넥터 불량으로 인버터 하나 내려감, 현장 조치 후 복구",P1,,,,,,group_side,,초기 seed: 동일 그룹 다수 0 → 인버터/커넥터 문제
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.16,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,field_confirmed_positive,group_or_inverter_side_like,1.0,agree_positive,"커넥터 불량으로 인버터 하나 내려감, 현장 조치 후 복구",P1,,,,,,group_side,,초기 seed: 동일 그룹 다수 0 → 인버터/커넥터 문제
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.17,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,field_confirmed_positive,group_or_inverter_side_like,1.0,agree_positive,"커넥터 불량으로 인버터 하나 내려감, 현장 조치 후 복구",P1,,,,,,group_side,,초기 seed: 동일 그룹 다수 0 → 인버터/커넥터 문제
conalog,45dfa600-79b7-428e-95d3-22345a068986.1.0,2024-12-29,2024-11-27,2024-12-29,0,medium,strict_trigger_fallback,strict_method=critical_fault_flag|window_start=2024-10-30|first_warning=2024-11-27|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,vendor_rejected,none_visible,0.0,ours_positive_vendor_rejected,이상으로 보이는 것이 전혀 없어 왜 후보인지 모르겠다고 답변,P1,,,,,,false_positive,,assistant_seed: vendor_rejected / none_visible / monitor_only
conalog,45dfa600-79b7-428e-95d3-22345a068986.1.1,2025-01-19,2024-11-20,2024-12-23,27,high,persistent_5of7,strict_method=critical_fault_flag|window_start=2024-11-20|first_warning=2024-11-20|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,vendor_rejected,none_visible,0.0,ours_positive_vendor_rejected,이상으로 보이는 것이 전혀 없어 왜 후보인지 모르겠다고 답변,P1,,,,,,false_positive,,assistant_seed: vendor_rejected / none_visible / monitor_only
conalog,d15b9e13-4117-49ae-a78f-7ace013e48de.0.0,2025-02-19,2025-01-01,2025-02-19,0,medium,strict_trigger_fallback,strict_method=critical_fault_flag|window_start=2024-12-21|first_warning=2025-01-01|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,vendor_rejected,none_visible,0.0,ours_positive_vendor_rejected,이상으로 보이는 것이 전혀 없어 왜 후보인지 모르겠다고 답변,P1,,,,,,false_positive,,assistant_seed: vendor_rejected / none_visible / monitor_only
conalog,c42997a6-5881-47e7-9035-7de8a2673b54.1.1,2025-03-21,2025-01-20,2025-01-20,60,high,persistent_5of7,strict_method=confirmed_fault_flag|window_start=2025-01-20|first_warning=2025-01-20|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,vendor_likely_positive,open_or_device_issue_like,0.0,agree_positive,"전압 0, 패널이나 장비 문제로 볼 수 있는 상태, 현장확인 안됨",P1,,,,,,needs_more_info,,assistant_seed: 전압 0/장비 문제 가능성은 있으나 현장확인 부족 → 추가 확인 필요
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.7,2025-06-08,2025-06-08,2025-06-08,0,medium,strict_trigger_fallback,strict_method=critical_fault_flag|window_start=2025-04-09|first_warning=2025-06-08|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,vendor_pattern_positive,diode_like,0.0,agree_group_issue,다이오드 손상으로 파악하는 경우,P1,,,,,,true_positive,,초기 seed: vendor_pattern_positive / diode_like
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.16,2025-06-08,2025-06-07,2025-06-08,0,medium,strict_trigger_fallback,strict_method=critical_fault_flag|window_start=2025-04-09|first_warning=2025-06-07|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,vendor_pattern_positive,diode_like,0.0,agree_group_issue,다이오드 손상으로 파악하는 경우,P1,,,,,,true_positive,,초기 seed: vendor_pattern_positive / diode_like
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-10-27,2025-08-28,2025-08-28,60,high,persistent_5of7,strict_method=critical_fault_flag|window_start=2025-08-28|first_warning=2025-08-28|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,vendor_rejected,none_visible,0.0,ours_positive_vendor_rejected,이상으로 보이는 것이 전혀 없어 왜 후보인지 모르겠다고 답변,P1,,,,,,false_positive,,assistant_seed: vendor_rejected / none_visible / singleton_monitor_hold
