eval_bucket_v2,site,panel_id,anchor_date,truth_case_id,current_marker_only_flag,breadth_marker_only_flag,combined_marker_flag,explanation_mode_class,retrofit_reason_ko
abrupt_or_no_precursor_now,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.7,2025-06-08,eligibility|gangui|bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.7|2025-06-08,0,0,0,neither,current/breadth 모두로도 설명되지 않아 descriptive review가 더 필요함
abrupt_or_no_precursor_now,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.16,2025-06-08,eligibility|gangui|bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.16|2025-06-08,0,0,0,neither,current/breadth 모두로도 설명되지 않아 descriptive review가 더 필요함
abrupt_or_no_precursor_now,conalog,45dfa600-79b7-428e-95d3-22345a068986.1.0,2024-12-29,reaudit|conalog|45dfa600-79b7-428e-95d3-22345a068986.1.0|2024-12-29,0,0,0,neither,current/breadth 모두로도 설명되지 않아 descriptive review가 더 필요함
abrupt_or_no_precursor_now,conalog,45dfa600-79b7-428e-95d3-22345a068986.1.1,2025-01-19,reaudit|conalog|45dfa600-79b7-428e-95d3-22345a068986.1.1|2025-01-19,0,0,0,neither,current/breadth 모두로도 설명되지 않아 descriptive review가 더 필요함
abrupt_or_no_precursor_now,conalog,d15b9e13-4117-49ae-a78f-7ace013e48de.0.0,2025-02-19,reaudit|conalog|d15b9e13-4117-49ae-a78f-7ace013e48de.0.0|2025-02-19,0,0,0,neither,current/breadth 모두로도 설명되지 않아 descriptive review가 더 필요함
abrupt_or_no_precursor_now,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-10-27,reaudit|gangui|bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9|2025-10-27,0,0,0,neither,current/breadth 모두로도 설명되지 않아 descriptive review가 더 필요함
non_panel_or_common_cause,conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.15,2024-12-06,reaudit|conalog|d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.15|2024-12-06,0,1,1,breadth_only,선택된 breadth marker가 새로 설명을 추가한 case
non_panel_or_common_cause,conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.16,2024-12-06,reaudit|conalog|d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.16|2024-12-06,0,1,1,breadth_only,선택된 breadth marker가 새로 설명을 추가한 case
non_panel_or_common_cause,conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.17,2024-12-06,reaudit|conalog|d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.17|2024-12-06,0,1,1,breadth_only,선택된 breadth marker가 새로 설명을 추가한 case
non_panel_or_common_cause,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.4.15,2025-11-11,reaudit|gangui|4fd0c566-e25e-4d51-96ca-57cc46940593.4.15|2025-11-11,0,1,1,breadth_only,선택된 breadth marker가 새로 설명을 추가한 case
precursor_bearing_detectable_now,conalog,7f7dd654-2760-4eb2-a197-3ebb72b85cda.2.0,2024-11-26,onset|conalog|7f7dd654-2760-4eb2-a197-3ebb72b85cda.2.0|2024-11-26,0,0,0,neither,current/breadth 모두로도 설명되지 않아 descriptive review가 더 필요함
precursor_bearing_detectable_now,ktc_ess,70ad2d87-cdb6-4842-81b7-71c7599bbf05.1.4,2025-02-02,onset|ktc_ess|70ad2d87-cdb6-4842-81b7-71c7599bbf05.1.4|2025-02-02,0,0,0,neither,current/breadth 모두로도 설명되지 않아 descriptive review가 더 필요함
