site,panel_id,GPVS_참고유형_ko,source_path,source_key_ko,비고_ko
conalog,45dfa600-79b7-428e-95d3-22345a068986.1.0,무가시형 계열,_share/gpvs_fault_family_eval_cases.csv,site+panel_id,"prediction_source=critical_phenotype_v3, fallback_rule=resolved_by_critical_phenotype_v3, error_type=correct, vendor_fault_family=none_visible"
conalog,7f7dd654-2760-4eb2-a197-3ebb72b85cda.2.0,전기적 고장 계열,_share/gpvs_fault_family_eval_cases.csv,site+panel_id,"prediction_source=critical_phenotype_v3, fallback_rule=resolved_by_critical_phenotype_v3, error_type=correct, vendor_fault_family=diode_like"
conalog,c42997a6-5881-47e7-9035-7de8a2673b54.1.1,개방/장치이상 계열,_share/gpvs_fault_family_eval_cases.csv,site+panel_id,"prediction_source=strict_day_core_fallback, fallback_rule=legacy_open_device, error_type=correct, vendor_fault_family=open_or_device_issue_like"
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.15,공통원인/인버터측 계열,_share/gpvs_fault_family_eval_cases.csv,site+panel_id,"prediction_source=strict_day_core_fallback, fallback_rule=same_day_group_collapse, error_type=correct, vendor_fault_family=group_or_inverter_side_like"
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.16,공통원인/인버터측 계열,_share/gpvs_fault_family_eval_cases.csv,site+panel_id,"prediction_source=strict_day_core_fallback, fallback_rule=same_day_group_collapse, error_type=correct, vendor_fault_family=group_or_inverter_side_like"
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.17,공통원인/인버터측 계열,_share/gpvs_fault_family_eval_cases.csv,site+panel_id,"prediction_source=strict_day_core_fallback, fallback_rule=same_day_group_collapse, error_type=correct, vendor_fault_family=group_or_inverter_side_like"
gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.4.15,공통원인/인버터측 계열,_share/gpvs_fault_family_eval_cases.csv,site+panel_id,"prediction_source=strict_day_core_fallback, fallback_rule=collapse_overrides_open_device, error_type=correct, vendor_fault_family=group_or_inverter_side_like"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.7,전기적 고장 계열,_share/gpvs_fault_family_eval_cases.csv,site+panel_id,"prediction_source=critical_phenotype_v3, fallback_rule=resolved_by_critical_phenotype_v3, error_type=correct, vendor_fault_family=diode_like"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,불확실,_share/gpvs_fault_family_eval_cases.csv,site+panel_id,"prediction_source=critical_phenotype_v3, fallback_rule=resolved_by_critical_phenotype_v3, error_type=abstain_uncertain, vendor_fault_family=none_visible"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.16,전기적 고장 계열,_share/gpvs_fault_family_eval_cases.csv,site+panel_id,"prediction_source=critical_phenotype_v3, fallback_rule=resolved_by_critical_phenotype_v3, error_type=correct, vendor_fault_family=diode_like"
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,불확실,_share/gpvs_fault_family_eval_cases.csv,site+panel_id,"prediction_source=critical_phenotype_v3, fallback_rule=resolved_by_critical_phenotype_v3, error_type=abstain_uncertain, vendor_fault_family=diode_like"
ktc_ess,70ad2d87-cdb6-4842-81b7-71c7599bbf05.1.4,전기적 고장 계열,_share/gpvs_fault_family_eval_cases.csv,site+panel_id,"prediction_source=critical_phenotype_v3, fallback_rule=resolved_by_critical_phenotype_v3, error_type=correct, vendor_fault_family=module_damage_like"
