site,panel_id,패널고장여부_ko,사건유형_ko,최종고장양상_ko,커널로그_원인군_ko,1순위_의심원인_ko,2순위_의심원인_ko,3순위_의심원인_ko
conalog,7f7dd654-2760-4eb2-a197-3ebb72b85cda.2.0,고장,전조형 고장,진행성 악화,다이오드형,다이오드·국소 회로 이상형,부분음영형,열화형
conalog,c42997a6-5881-47e7-9035-7de8a2673b54.1.1,고장,전조형 고장,급격 종료,개방/장치이상형,장치 측정 이상형,접촉 끊김 형,장치 응답 이상형
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.7,고장,급작 고장,급작 발생,다이오드형,다이오드·국소 회로 이상형,장치 측정 이상형,접촉 끊김 형
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.16,고장,급작 고장,급작 발생,다이오드형,다이오드·국소 회로 이상형,장치 측정 이상형,접촉 끊김 형
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,고장,급작 고장,급작 발생,다이오드형,다이오드·국소 회로 이상형,부분음영형,접촉 끊김 형
ktc_ess,70ad2d87-cdb6-4842-81b7-71c7599bbf05.1.4,고장,전조형 고장,진행성 악화,모듈손상형,열화형,장치 측정 이상형,다이오드·국소 회로 이상형
conalog,45dfa600-79b7-428e-95d3-22345a068986.1.0,미확정,반복 이상,해당없음,불충분,,,
conalog,45dfa600-79b7-428e-95d3-22345a068986.2.0,미확정,반복 이상,해당없음,불충분,,,
conalog,c42997a6-5881-47e7-9035-7de8a2673b54.0.0,미확정,반복 이상,해당없음,불충분,,,
conalog,c42997a6-5881-47e7-9035-7de8a2673b54.0.1,미확정,불충분,불충분,불충분,,,
conalog,c42997a6-5881-47e7-9035-7de8a2673b54.2.0,미확정,반복 이상,해당없음,불충분,,,
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.15,비고장,공통원인 이벤트,해당없음,불충분,,,
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.16,비고장,공통원인 이벤트,해당없음,불충분,,,
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.17,비고장,공통원인 이벤트,해당없음,불충분,,,
gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.1.12,미확정,불충분,불충분,불충분,,,
gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.4.15,비고장,공통원인 이벤트,해당없음,불충분,,,
gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.5.4,미확정,불충분,불충분,불충분,,,
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,미확정,반복 이상,해당없음,불충분,,,
ktc_ess,e089076c-92c1-4365-8641-2182b4f274e6.0.1,미확정,반복 이상,해당없음,불충분,,,
ktc_ess,e089076c-92c1-4365-8641-2182b4f274e6.0.2,미확정,반복 이상,해당없음,불충분,,,
ktc_ess,e089076c-92c1-4365-8641-2182b4f274e6.0.5,미확정,반복 이상,해당없음,불충분,,,
sinhyo,43269809-c7ab-4f87-b228-095e2785c744.1.4,미확정,불충분,불충분,불충분,,,
sinhyo,43269809-c7ab-4f87-b228-095e2785c744.1.5,미확정,불충분,불충분,불충분,,,
sinhyo,af126597-828b-4ed4-8d9c-3e32bf5c6e9e.4.4,미확정,반복 이상,해당없음,불충분,,,
sinhyo,af126597-828b-4ed4-8d9c-3e32bf5c6e9e.4.5,미확정,반복 이상,해당없음,불충분,,,
