artifact_key,path_kind,static_path,producer_script,producer_output_constant,artifact_name,description
capture_schema_dir,directory,research/prognostics/contracts/mlpe_field_trial_v1/capture_schema,,,,tracked capture template/schema/allowed-values contract directory
capture_readiness_dir,directory,,research/prognostics/build_mlpe_field_trial_capture_readiness_packet_v1.py,DEFAULT_OUTPUT_DIR,,capture readiness output directory
capture_readiness_packet,file,,research/prognostics/build_mlpe_field_trial_capture_readiness_packet_v1.py,DEFAULT_OUTPUT_DIR,mlpe_field_trial_capture_readiness_packet_v1.csv,capture readiness packet
operator_intake_dir,directory,,research/prognostics/build_mlpe_field_trial_operator_intake_guide_v1.py,DEFAULT_OUTPUT_DIR,,operator intake output directory
operator_intake_checklist,file,,research/prognostics/build_mlpe_field_trial_operator_intake_guide_v1.py,DEFAULT_OUTPUT_DIR,mlpe_field_trial_operator_intake_checklist_v1.csv,operator intake checklist
package_manifest_summary,file,,research/prognostics/build_mlpe_field_trial_package_manifest_v1.py,DEFAULT_OUTPUT_DIR,mlpe_field_trial_package_manifest_summary_v1.csv,package manifest summary
adjudication_handoff_guard,file,,research/prognostics/build_mlpe_field_trial_adjudication_handoff_guard_v1.py,DEFAULT_OUTPUT_DIR,mlpe_field_trial_adjudication_handoff_guard_v1.csv,adjudication handoff guard
filled_capture_fixture_dir,directory,,research/prognostics/build_mlpe_field_trial_filled_capture_fixture_v1.py,DEFAULT_OUTPUT_DIR,,filled capture fixture output directory
partial_capture_failure_matrix_dir,directory,,research/prognostics/build_mlpe_field_trial_partial_capture_failure_matrix_v1.py,DEFAULT_OUTPUT_DIR,,partial capture failure matrix output directory
pre_adjudication_dry_run_gate_summary,file,,research/prognostics/check_mlpe_field_trial_pre_adjudication_dry_run_gate_v1.py,DEFAULT_OUTPUT_DIR,mlpe_field_trial_pre_adjudication_dry_run_gate_summary_v1.csv,pre-adjudication dry-run gate summary
real_capture_intake_watchlist,file,,research/prognostics/build_mlpe_field_trial_real_capture_intake_watchlist_v1.py,DEFAULT_OUTPUT_DIR,mlpe_field_trial_real_capture_intake_watchlist_v1.csv,real capture intake watchlist
capture_return_validation,file,,research/prognostics/build_mlpe_field_trial_capture_return_validator_v1.py,DEFAULT_OUTPUT_DIR,mlpe_field_trial_capture_return_validation_v1.csv,capture return validation
capture_return_evidence_resolution,file,,research/prognostics/build_mlpe_field_trial_capture_return_evidence_resolver_v1.py,DEFAULT_OUTPUT_DIR,mlpe_field_trial_capture_return_evidence_resolution_v1.csv,capture return evidence resolution
capture_return_rerun_preflight,file,,research/prognostics/build_mlpe_field_trial_capture_return_rerun_preflight_v1.py,DEFAULT_OUTPUT_DIR,mlpe_field_trial_capture_return_rerun_preflight_v1.csv,capture return rerun preflight
returned_capture_adjudication_packet,file,,research/prognostics/build_mlpe_field_trial_returned_capture_adjudication_packet_v1.py,DEFAULT_OUTPUT_DIR,mlpe_field_trial_returned_capture_adjudication_packet_v1.csv,returned capture adjudication packet
final_label_validation,file,,research/prognostics/build_mlpe_field_trial_final_label_validator_v1.py,DEFAULT_OUTPUT_DIR,mlpe_field_trial_final_label_validation_v1.csv,final label validation
