owner_branch,field,allowed_value
BR-20260425-102,capture_status,planned
BR-20260425-102,capture_status,captured
BR-20260425-102,capture_status,label_pending
BR-20260425-102,capture_status,label_attached
BR-20260425-102,capture_status,discarded
BR-20260425-102,injection_case,normal_clear_day_baseline
BR-20260425-102,injection_case,partial_shading_panel_local
BR-20260425-102,injection_case,uniform_soiling_or_cover
BR-20260425-102,injection_case,high_contact_resistance_or_series_resistance
BR-20260425-102,injection_case,partial_open_or_full_open
BR-20260425-102,injection_case,bypass_diode_or_substring_loss
BR-20260425-102,injection_case,optimizer_current_limit_or_clipping
BR-20260425-102,injection_case,telemetry_dropout_or_stuck_value
BR-20260425-102,injection_case,group_or_inverter_curtailment
BR-20260425-102,injection_case,site_or_root_common_cause_event
BR-20260425-102,injection_case,mppt_tracking_anomaly
BR-20260425-102,injection_case,rapid_shutdown_or_safety_state
BR-20260425-102,injection_case,degradation_emulation
BR-20260425-102,injection_case,compound_fault
BR-20260425-102,planned_fault_family,normal
BR-20260425-102,planned_fault_family,panel_surface_environment_fault
BR-20260425-102,planned_fault_family,panel_physical_degradation_fault
BR-20260425-102,planned_fault_family,panel_electrical_submodule_fault
BR-20260425-102,planned_fault_family,connection_or_open_fault
BR-20260425-102,planned_fault_family,mlpe_device_or_control_fault
BR-20260425-102,planned_fault_family,measurement_or_communication_artifact
BR-20260425-102,planned_fault_family,inverter_or_group_side_fault
BR-20260425-102,planned_fault_family,site_common_cause_event
BR-20260425-102,planned_fault_family,unknown_or_compound
BR-20260425-102,affected_scope,panel
BR-20260425-102,affected_scope,substring
BR-20260425-102,affected_scope,string
BR-20260425-102,affected_scope,root
BR-20260425-102,affected_scope,site
BR-20260425-102,affected_scope,unknown
BR-20260425-102,injection_mode,physical
BR-20260425-102,injection_mode,electrical_emulator
BR-20260425-102,injection_mode,mlpe_control
BR-20260425-102,injection_mode,telemetry
BR-20260425-102,injection_mode,environment
BR-20260425-102,injection_mode,observed_only
BR-20260425-102,expected_signature,normal_reference
BR-20260425-102,expected_signature,v_drop_i_preserved
BR-20260425-102,expected_signature,i_drop_v_preserved
BR-20260425-102,expected_signature,p_drop_both
BR-20260425-102,expected_signature,voltage_current_ratio_shift
BR-20260425-102,expected_signature,zero_or_near_zero_output
BR-20260425-102,expected_signature,stale_or_missing_telemetry
BR-20260425-102,expected_signature,multi_panel_synchronous_drop
BR-20260425-102,expected_signature,unknown
BR-20260425-102,planned_panel_local_flag,0
BR-20260425-102,planned_panel_local_flag,1
BR-20260425-102,planned_common_cause_flag,0
BR-20260425-102,planned_common_cause_flag,1
BR-20260425-102,planned_measurement_artifact_flag,0
BR-20260425-102,planned_measurement_artifact_flag,1
BR-20260425-102,mlpe_state,normal
BR-20260425-102,mlpe_state,clipping
BR-20260425-102,mlpe_state,mppt_anomaly
BR-20260425-102,mlpe_state,rapid_shutdown
BR-20260425-102,mlpe_state,dropout
BR-20260425-102,mlpe_state,control_delay
BR-20260425-102,mlpe_state,unknown
BR-20260425-102,timestamp_quality,unchecked
BR-20260425-102,timestamp_quality,ok
BR-20260425-102,timestamp_quality,skewed
BR-20260425-102,timestamp_quality,missing
BR-20260425-102,timestamp_quality,mixed
BR-20260425-102,communication_quality,unchecked
BR-20260425-102,communication_quality,ok
BR-20260425-102,communication_quality,dropout
BR-20260425-102,communication_quality,stale
BR-20260425-102,communication_quality,missing
BR-20260425-102,communication_quality,mixed
BR-20260425-102,final_fault_family,normal
BR-20260425-102,final_fault_family,panel_surface_environment_fault
BR-20260425-102,final_fault_family,panel_physical_degradation_fault
BR-20260425-102,final_fault_family,panel_electrical_submodule_fault
BR-20260425-102,final_fault_family,connection_or_open_fault
BR-20260425-102,final_fault_family,mlpe_device_or_control_fault
BR-20260425-102,final_fault_family,measurement_or_communication_artifact
BR-20260425-102,final_fault_family,inverter_or_group_side_fault
BR-20260425-102,final_fault_family,site_common_cause_event
BR-20260425-102,final_fault_family,unknown_or_compound
BR-20260425-102,final_truth_confidence,confirmed_injected
BR-20260425-102,final_truth_confidence,confirmed_observed
BR-20260425-102,final_truth_confidence,probable
BR-20260425-102,final_truth_confidence,ambiguous
BR-20260425-102,final_truth_confidence,negative_control
BR-20260425-102,final_label_attached,0
BR-20260425-102,final_label_attached,1
BR-20260425-102,label_status,label_pending
BR-20260425-102,label_status,label_attached
BR-20260425-102,label_status,discarded
BR-20260425-102,operator_promotion_allowed,0
BR-20260425-102,engine_patch_allowed,0
BR-20260425-102,threshold_patch_allowed,0
BR-20260425-102,subtype_for:normal,normal_clear_day_baseline
BR-20260425-102,subtype_for:panel_surface_environment_fault,partial_shading
BR-20260425-102,subtype_for:panel_surface_environment_fault,uniform_soiling
BR-20260425-102,subtype_for:panel_surface_environment_fault,moving_shadow
BR-20260425-102,subtype_for:panel_surface_environment_fault,snow_or_cover
BR-20260425-102,subtype_for:panel_surface_environment_fault,localized_obstruction
BR-20260425-102,subtype_for:panel_physical_degradation_fault,degradation_emulation
BR-20260425-102,subtype_for:panel_physical_degradation_fault,series_resistance_degradation
BR-20260425-102,subtype_for:panel_physical_degradation_fault,crack_or_damage_proxy
BR-20260425-102,subtype_for:panel_physical_degradation_fault,hotspot_like_thermal_stress
BR-20260425-102,subtype_for:panel_electrical_submodule_fault,bypass_diode_open
BR-20260425-102,subtype_for:panel_electrical_submodule_fault,bypass_diode_short
BR-20260425-102,subtype_for:panel_electrical_submodule_fault,substring_loss
BR-20260425-102,subtype_for:panel_electrical_submodule_fault,cell_mismatch
BR-20260425-102,subtype_for:panel_electrical_submodule_fault,voltage_preserved_current_drop
BR-20260425-102,subtype_for:connection_or_open_fault,intermittent_connection
BR-20260425-102,subtype_for:connection_or_open_fault,high_contact_resistance
BR-20260425-102,subtype_for:connection_or_open_fault,partial_open
BR-20260425-102,subtype_for:connection_or_open_fault,full_open
BR-20260425-102,subtype_for:connection_or_open_fault,connector_recovery
