owner_branch,field,allowed_value
BR-20260425-115,reviewer_truth_confidence,confirmed_injected
BR-20260425-115,reviewer_truth_confidence,confirmed_observed
BR-20260425-115,reviewer_truth_confidence,probable
BR-20260425-115,reviewer_truth_confidence,ambiguous
BR-20260425-115,reviewer_truth_confidence,negative_control
BR-20260425-115,reviewer_common_cause_clearance,cleared_panel_local
BR-20260425-115,reviewer_common_cause_clearance,common_cause_suspected
BR-20260425-115,reviewer_common_cause_clearance,common_cause_confirmed
BR-20260425-115,reviewer_common_cause_clearance,unknown
BR-20260425-115,reviewer_measurement_artifact_clearance,cleared_physical
BR-20260425-115,reviewer_measurement_artifact_clearance,measurement_artifact_suspected
BR-20260425-115,reviewer_measurement_artifact_clearance,measurement_artifact_confirmed
BR-20260425-115,reviewer_measurement_artifact_clearance,unknown
BR-20260425-115,reviewer_label_source,field_trial_injection_log
BR-20260425-115,reviewer_label_source,field_inspection
BR-20260425-115,reviewer_label_source,maintenance_record
BR-20260425-115,reviewer_label_source,manual_expert_review
BR-20260425-115,truth_intake_allowed,0
BR-20260425-115,threshold_patch_allowed,0
BR-20260425-115,engine_patch_allowed,0
