owner_branch,field,allowed_value
BR-20260425-121,truth_seed_reviewer_decision,approve_for_future_truth_intake
BR-20260425-121,truth_seed_reviewer_decision,reject_not_truth_seed
BR-20260425-121,truth_seed_reviewer_decision,defer_needs_more_evidence
BR-20260425-121,truth_seed_reviewer_confidence,confirmed
BR-20260425-121,truth_seed_reviewer_confidence,probable
BR-20260425-121,truth_seed_reviewer_confidence,ambiguous
BR-20260425-121,truth_seed_independent_evidence_status,independent_evidence_confirmed
BR-20260425-121,truth_seed_independent_evidence_status,single_source_only
BR-20260425-121,truth_seed_independent_evidence_status,not_confirmed
BR-20260425-121,truth_seed_independent_evidence_status,unknown
BR-20260425-121,truth_seed_common_cause_final_clearance,final_cleared_panel_local
BR-20260425-121,truth_seed_common_cause_final_clearance,final_common_cause_risk
BR-20260425-121,truth_seed_common_cause_final_clearance,unknown
BR-20260425-121,truth_seed_measurement_artifact_final_clearance,final_cleared_physical
BR-20260425-121,truth_seed_measurement_artifact_final_clearance,final_measurement_artifact_risk
BR-20260425-121,truth_seed_measurement_artifact_final_clearance,unknown
BR-20260425-121,truth_seed_counterexample_check_status,checked_no_counterexample
BR-20260425-121,truth_seed_counterexample_check_status,counterexample_risk
BR-20260425-121,truth_seed_counterexample_check_status,unknown
BR-20260425-121,truth_seed_reviewer_decision_source,field_trial_packet_review
BR-20260425-121,truth_seed_reviewer_decision_source,field_inspection_record
BR-20260425-121,truth_seed_reviewer_decision_source,maintenance_record
BR-20260425-121,truth_seed_reviewer_decision_source,expert_panel_review
BR-20260425-121,canonical_truth_write_allowed,0
BR-20260425-121,truth_intake_allowed,0
BR-20260425-121,threshold_patch_allowed,0
BR-20260425-121,engine_patch_allowed,0
