owner_branch,column,required_when_packet_row_exists,edit_policy
BR-20260425-121,owner_branch,0,system_locked
BR-20260425-121,trial_event_id,1,system_locked
BR-20260425-121,truth_seed_review_packet_status,1,system_locked
BR-20260425-121,truth_candidate_role,1,system_locked
BR-20260425-121,reviewer_final_fault_family,0,system_locked
BR-20260425-121,reviewer_final_fault_subtype,0,system_locked
BR-20260425-121,reviewer_truth_confidence,0,system_locked
BR-20260425-121,reviewer_common_cause_clearance,0,system_locked
BR-20260425-121,reviewer_measurement_artifact_clearance,0,system_locked
BR-20260425-121,reviewer_label_source,0,system_locked
BR-20260425-121,truth_gate_bucket,0,system_locked
BR-20260425-121,truth_seed_reviewer_decision,1,external_reviewer_fill
BR-20260425-121,truth_seed_reviewer_confidence,1,external_reviewer_fill
BR-20260425-121,truth_seed_independent_evidence_status,1,external_reviewer_fill
BR-20260425-121,truth_seed_common_cause_final_clearance,1,external_reviewer_fill
BR-20260425-121,truth_seed_measurement_artifact_final_clearance,1,external_reviewer_fill
BR-20260425-121,truth_seed_counterexample_check_status,1,external_reviewer_fill
BR-20260425-121,truth_seed_reviewer_decision_source,1,external_reviewer_fill
BR-20260425-121,truth_seed_reviewer,1,external_reviewer_fill
BR-20260425-121,truth_seed_reviewed_at,1,external_reviewer_fill
BR-20260425-121,truth_seed_reviewer_notes,0,external_reviewer_optional
BR-20260425-121,canonical_truth_write_allowed,0,system_locked
BR-20260425-121,truth_intake_allowed,0,system_locked
BR-20260425-121,threshold_patch_allowed,0,system_locked
BR-20260425-121,engine_patch_allowed,0,system_locked
